 00:00:00.000000 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [S], seq 1852594190, win 65535, options [mss 1460,nop,wscale 6,nop,nop,TS val 729676479 ecr 0,sackOK,eol], length 0
 00:00:00.041144 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [S.], seq 1658809771, ack 1852594191, win 28960, options [mss 1400,sackOK,TS val 2521817020 ecr 729676479,nop,wscale 7], length 0
 00:00:00.041193 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 1, win 2060, options [nop,nop,TS val 729676520 ecr 2521817020], length 0
 00:00:00.316877 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 309525, win 2515, options [nop,nop,TS val 729676778 ecr 2521817291], length 0
 00:00:00.317010 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 309525, win 2559, options [nop,nop,TS val 729676778 ecr 2521817291], length 0
 00:00:00.323961 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 309525:310913, ack 122, win 227, options [nop,nop,TS val 2521817302 ecr 729676752], length 1388: HTTP
 00:00:00.325173 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 310913:312301, ack 122, win 227, options [nop,nop,TS val 2521817302 ecr 729676752], length 1388: HTTP
 00:00:00.325178 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 312301:313689, ack 122, win 227, options [nop,nop,TS val 2521817302 ecr 729676752], length 1388: HTTP
 00:00:00.325182 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 313689:315077, ack 122, win 227, options [nop,nop,TS val 2521817302 ecr 729676752], length 1388: HTTP
 00:00:00.325184 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 315077:316465, ack 122, win 227, options [nop,nop,TS val 2521817302 ecr 729676752], length 1388: HTTP
 00:00:00.325186 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 316465:317853, ack 122, win 227, options [nop,nop,TS val 2521817302 ecr 729676752], length 1388: HTTP
 00:00:00.325248 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 312301, win 2537, options [nop,nop,TS val 729676786 ecr 2521817302], length 0
 00:00:00.325273 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 315077, win 2494, options [nop,nop,TS val 729676786 ecr 2521817302], length 0
 00:00:00.325289 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 317853, win 2450, options [nop,nop,TS val 729676786 ecr 2521817302], length 0
 00:00:00.325301 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 317853:319241, ack 122, win 227, options [nop,nop,TS val 2521817302 ecr 729676752], length 1388: HTTP
 00:00:00.325311 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 317853, win 2559, options [nop,nop,TS val 729676786 ecr 2521817302], length 0
 00:00:00.326896 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 319241:320629, ack 122, win 227, options [nop,nop,TS val 2521817302 ecr 729676752], length 1388: HTTP
 00:00:00.326900 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 320629:322017, ack 122, win 227, options [nop,nop,TS val 2521817302 ecr 729676752], length 1388: HTTP
 00:00:00.326902 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 322017:323405, ack 122, win 227, options [nop,nop,TS val 2521817302 ecr 729676752], length 1388: HTTP
 00:00:00.326908 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 323405:324793, ack 122, win 227, options [nop,nop,TS val 2521817302 ecr 729676752], length 1388: HTTP
 00:00:00.326966 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 320629, win 2537, options [nop,nop,TS val 729676787 ecr 2521817302], length 0
 00:00:00.326997 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 323405, win 2494, options [nop,nop,TS val 729676787 ecr 2521817302], length 0
 00:00:00.327007 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 324793:326181, ack 122, win 227, options [nop,nop,TS val 2521817302 ecr 729676752], length 1388: HTTP
 00:00:00.327011 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 326181:327569, ack 122, win 227, options [nop,nop,TS val 2521817302 ecr 729676752], length 1388: HTTP
 00:00:00.327014 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 327569:328957, ack 122, win 227, options [nop,nop,TS val 2521817302 ecr 729676752], length 1388: HTTP
 00:00:00.327026 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 326181, win 2450, options [nop,nop,TS val 729676787 ecr 2521817302], length 0
 00:00:00.327040 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 328957, win 2407, options [nop,nop,TS val 729676787 ecr 2521817302], length 0
 00:00:00.327077 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 328957, win 2559, options [nop,nop,TS val 729676787 ecr 2521817302], length 0
 00:00:00.332118 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 328957:330345, ack 122, win 227, options [nop,nop,TS val 2521817302 ecr 729676752], length 1388: HTTP
 00:00:00.332122 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 330345:331733, ack 122, win 227, options [nop,nop,TS val 2521817302 ecr 729676752], length 1388: HTTP
 00:00:00.332125 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 331733:333121, ack 122, win 227, options [nop,nop,TS val 2521817302 ecr 729676752], length 1388: HTTP
 00:00:00.332127 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 333121:334509, ack 122, win 227, options [nop,nop,TS val 2521817302 ecr 729676752], length 1388: HTTP
 00:00:00.332182 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 331733, win 2515, options [nop,nop,TS val 729676792 ecr 2521817302], length 0
 00:00:00.332246 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 334509, win 2472, options [nop,nop,TS val 729676792 ecr 2521817302], length 0
 00:00:00.332257 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 334509:335897, ack 122, win 227, options [nop,nop,TS val 2521817302 ecr 729676752], length 1388: HTTP
 00:00:00.332262 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 335897:337285, ack 122, win 227, options [nop,nop,TS val 2521817302 ecr 729676752], length 1388: HTTP
 00:00:00.332264 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 337285:338673, ack 122, win 227, options [nop,nop,TS val 2521817302 ecr 729676752], length 1388: HTTP
 00:00:00.332267 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 338673:340061, ack 122, win 227, options [nop,nop,TS val 2521817302 ecr 729676752], length 1388: HTTP
 00:00:00.332271 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 340061:341449, ack 122, win 227, options [nop,nop,TS val 2521817302 ecr 729676752], length 1388: HTTP
 00:00:00.332274 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 341449:342837, ack 122, win 227, options [nop,nop,TS val 2521817302 ecr 729676752], length 1388: HTTP
 00:00:00.332280 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 342837:344225, ack 122, win 227, options [nop,nop,TS val 2521817302 ecr 729676752], length 1388: HTTP
 00:00:00.332284 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 344225:345613, ack 122, win 227, options [nop,nop,TS val 2521817302 ecr 729676752], length 1388: HTTP
 00:00:00.332295 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 345613:347001, ack 122, win 227, options [nop,nop,TS val 2521817302 ecr 729676752], length 1388: HTTP
 00:00:00.332301 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 347001:348389, ack 122, win 227, options [nop,nop,TS val 2521817302 ecr 729676752], length 1388: HTTP
 00:00:00.332305 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 348389:349777, ack 122, win 227, options [nop,nop,TS val 2521817302 ecr 729676752], length 1388: HTTP
 00:00:00.332308 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 349777:351165, ack 122, win 227, options [nop,nop,TS val 2521817302 ecr 729676752], length 1388: HTTP
 00:00:00.332310 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 334509, win 2559, options [nop,nop,TS val 729676792 ecr 2521817302], length 0
 00:00:00.332311 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 351165:352553, ack 122, win 227, options [nop,nop,TS val 2521817310 ecr 729676760], length 1388: HTTP
 00:00:00.332346 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 337285, win 2515, options [nop,nop,TS val 729676792 ecr 2521817302], length 0
 00:00:00.332361 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 340061, win 2472, options [nop,nop,TS val 729676792 ecr 2521817302], length 0
 00:00:00.332372 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 342837, win 2429, options [nop,nop,TS val 729676792 ecr 2521817302], length 0
 00:00:00.332390 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 345613, win 2385, options [nop,nop,TS val 729676792 ecr 2521817302], length 0
 00:00:00.332403 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 348389, win 2342, options [nop,nop,TS val 729676792 ecr 2521817302], length 0
 00:00:00.332413 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 351165, win 2298, options [nop,nop,TS val 729676792 ecr 2521817302], length 0
 00:00:00.332546 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 352553, win 2750, options [nop,nop,TS val 729676792 ecr 2521817310], length 0
 00:00:00.333565 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 352553:353941, ack 122, win 227, options [nop,nop,TS val 2521817311 ecr 729676761], length 1388: HTTP
 00:00:00.333568 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 353941:355329, ack 122, win 227, options [nop,nop,TS val 2521817311 ecr 729676761], length 1388: HTTP
 00:00:00.333571 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 355329:356717, ack 122, win 227, options [nop,nop,TS val 2521817311 ecr 729676761], length 1388: HTTP
 00:00:00.333620 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 355329, win 2732, options [nop,nop,TS val 729676793 ecr 2521817311], length 0
 00:00:00.333729 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 356717, win 2776, options [nop,nop,TS val 729676793 ecr 2521817311], length 0
 00:00:00.335306 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 356717:358105, ack 122, win 227, options [nop,nop,TS val 2521817311 ecr 729676761], length 1388: HTTP
 00:00:00.341391 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 358105:359493, ack 122, win 227, options [nop,nop,TS val 2521817319 ecr 729676768], length 1388: HTTP
 00:00:00.341437 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 359493, win 2754, options [nop,nop,TS val 729676800 ecr 2521817311], length 0
 00:00:00.342614 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 359493:360881, ack 122, win 227, options [nop,nop,TS val 2521817319 ecr 729676768], length 1388: HTTP
 00:00:00.342618 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 360881:362269, ack 122, win 227, options [nop,nop,TS val 2521817319 ecr 729676768], length 1388: HTTP
 00:00:00.342620 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 362269:363657, ack 122, win 227, options [nop,nop,TS val 2521817319 ecr 729676768], length 1388: HTTP
 00:00:00.342697 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 362269, win 2732, options [nop,nop,TS val 729676801 ecr 2521817319], length 0
 00:00:00.342806 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 363657, win 2776, options [nop,nop,TS val 729676801 ecr 2521817319], length 0
 00:00:00.346376 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 363657:365045, ack 122, win 227, options [nop,nop,TS val 2521817324 ecr 729676772], length 1388: HTTP
 00:00:00.352558 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 365045:366433, ack 122, win 227, options [nop,nop,TS val 2521817324 ecr 729676772], length 1388: HTTP
 00:00:00.352562 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 366433:367821, ack 122, win 227, options [nop,nop,TS val 2521817324 ecr 729676772], length 1388: HTTP
 00:00:00.352565 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 367821:369209, ack 122, win 227, options [nop,nop,TS val 2521817324 ecr 729676772], length 1388: HTTP
 00:00:00.352567 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 369209:370597, ack 122, win 227, options [nop,nop,TS val 2521817324 ecr 729676772], length 1388: HTTP
 00:00:00.352569 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 370597:371985, ack 122, win 227, options [nop,nop,TS val 2521817324 ecr 729676772], length 1388: HTTP
 00:00:00.352571 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 371985:373373, ack 122, win 227, options [nop,nop,TS val 2521817325 ecr 729676773], length 1388: HTTP
 00:00:00.352573 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 373373:374761, ack 122, win 227, options [nop,nop,TS val 2521817325 ecr 729676773], length 1388: HTTP
 00:00:00.352576 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 374761:376149, ack 122, win 227, options [nop,nop,TS val 2521817325 ecr 729676773], length 1388: HTTP
 00:00:00.352578 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 376149:377537, ack 122, win 227, options [nop,nop,TS val 2521817325 ecr 729676773], length 1388: HTTP
 00:00:00.352580 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 377537:378925, ack 122, win 227, options [nop,nop,TS val 2521817325 ecr 729676773], length 1388: HTTP
 00:00:00.352583 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 378925:380313, ack 122, win 227, options [nop,nop,TS val 2521817325 ecr 729676773], length 1388: HTTP
 00:00:00.352585 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 380313:381701, ack 122, win 227, options [nop,nop,TS val 2521817325 ecr 729676773], length 1388: HTTP
 00:00:00.352587 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 381701:383089, ack 122, win 227, options [nop,nop,TS val 2521817325 ecr 729676773], length 1388: HTTP
 00:00:00.352589 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 383089:384477, ack 122, win 227, options [nop,nop,TS val 2521817327 ecr 729676774], length 1388: HTTP
 00:00:00.352591 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 384477:385865, ack 122, win 227, options [nop,nop,TS val 2521817327 ecr 729676774], length 1388: HTTP
 00:00:00.352596 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 385865:387253, ack 122, win 227, options [nop,nop,TS val 2521817327 ecr 729676775], length 1388: HTTP
 00:00:00.352605 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 387253:388641, ack 122, win 227, options [nop,nop,TS val 2521817327 ecr 729676775], length 1388: HTTP
 00:00:00.352608 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 388641:390029, ack 122, win 227, options [nop,nop,TS val 2521817328 ecr 729676775], length 1388: HTTP
 00:00:00.352611 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 390029:391417, ack 122, win 227, options [nop,nop,TS val 2521817328 ecr 729676775], length 1388: HTTP
 00:00:00.352613 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 391417:392805, ack 122, win 227, options [nop,nop,TS val 2521817329 ecr 729676775], length 1388: HTTP
 00:00:00.352617 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 392805:394193, ack 122, win 227, options [nop,nop,TS val 2521817329 ecr 729676775], length 1388: HTTP
 00:00:00.352679 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 366433, win 2754, options [nop,nop,TS val 729676810 ecr 2521817324], length 0
 00:00:00.352709 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 369209, win 2710, options [nop,nop,TS val 729676810 ecr 2521817324], length 0
 00:00:00.352725 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 371985, win 2667, options [nop,nop,TS val 729676810 ecr 2521817324], length 0
 00:00:00.352740 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 374761, win 2624, options [nop,nop,TS val 729676810 ecr 2521817325], length 0
 00:00:00.352762 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 377537, win 2580, options [nop,nop,TS val 729676810 ecr 2521817325], length 0
 00:00:00.352781 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 380313, win 2710, options [nop,nop,TS val 729676810 ecr 2521817325], length 0
 00:00:00.352796 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 380313, win 2776, options [nop,nop,TS val 729676810 ecr 2521817325], length 0
 00:00:00.352816 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 383089, win 2732, options [nop,nop,TS val 729676810 ecr 2521817325], length 0
 00:00:00.352836 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 385865, win 2689, options [nop,nop,TS val 729676810 ecr 2521817327], length 0
 00:00:00.352854 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 388641, win 2645, options [nop,nop,TS val 729676810 ecr 2521817327], length 0
 00:00:00.352872 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 391417, win 2602, options [nop,nop,TS val 729676810 ecr 2521817328], length 0
 00:00:00.352887 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 394193, win 2559, options [nop,nop,TS val 729676810 ecr 2521817329], length 0
 00:00:00.352897 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 394193:395581, ack 122, win 227, options [nop,nop,TS val 2521817329 ecr 729676775], length 1388: HTTP
 00:00:00.352901 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 395581:396969, ack 122, win 227, options [nop,nop,TS val 2521817329 ecr 729676775], length 1388: HTTP
 00:00:00.352926 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 396969, win 2515, options [nop,nop,TS val 729676810 ecr 2521817329], length 0
 00:00:00.353059 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 396969, win 2771, options [nop,nop,TS val 729676810 ecr 2521817329], length 0
 00:00:00.354639 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 396969:398357, ack 122, win 227, options [nop,nop,TS val 2521817332 ecr 729676778], length 1388: HTTP
 00:00:00.355833 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 398357:399745, ack 122, win 227, options [nop,nop,TS val 2521817332 ecr 729676778], length 1388: HTTP
 00:00:00.355881 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 399745, win 2754, options [nop,nop,TS val 729676813 ecr 2521817332], length 0
 00:00:00.363062 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 399745:401133, ack 122, win 227, options [nop,nop,TS val 2521817341 ecr 729676786], length 1388: HTTP
 00:00:00.363167 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 401133, win 2776, options [nop,nop,TS val 729676820 ecr 2521817341], length 0
 00:00:00.369530 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 401133:402521, ack 122, win 227, options [nop,nop,TS val 2521817341 ecr 729676786], length 1388: HTTP
 00:00:00.369535 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 402521:403909, ack 122, win 227, options [nop,nop,TS val 2521817341 ecr 729676786], length 1388: HTTP
 00:00:00.369537 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 403909:405297, ack 122, win 227, options [nop,nop,TS val 2521817341 ecr 729676786], length 1388: HTTP
 00:00:00.369539 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 405297:406685, ack 122, win 227, options [nop,nop,TS val 2521817341 ecr 729676786], length 1388: HTTP
 00:00:00.369542 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 406685:408073, ack 122, win 227, options [nop,nop,TS val 2521817341 ecr 729676786], length 1388: HTTP
 00:00:00.369544 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 408073:409461, ack 122, win 227, options [nop,nop,TS val 2521817341 ecr 729676786], length 1388: HTTP
 00:00:00.369547 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 409461:410849, ack 122, win 227, options [nop,nop,TS val 2521817341 ecr 729676786], length 1388: HTTP
 00:00:00.369550 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 410849:412237, ack 122, win 227, options [nop,nop,TS val 2521817341 ecr 729676787], length 1388: HTTP
 00:00:00.369552 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 412237:413625, ack 122, win 227, options [nop,nop,TS val 2521817341 ecr 729676787], length 1388: HTTP
 00:00:00.369554 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 413625:415013, ack 122, win 227, options [nop,nop,TS val 2521817341 ecr 729676787], length 1388: HTTP
 00:00:00.369556 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 415013:416401, ack 122, win 227, options [nop,nop,TS val 2521817341 ecr 729676787], length 1388: HTTP
 00:00:00.369559 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 416401:417789, ack 122, win 227, options [nop,nop,TS val 2521817341 ecr 729676787], length 1388: HTTP
 00:00:00.369561 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 417789:419177, ack 122, win 227, options [nop,nop,TS val 2521817341 ecr 729676787], length 1388: HTTP
 00:00:00.369563 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 419177:420565, ack 122, win 227, options [nop,nop,TS val 2521817341 ecr 729676787], length 1388: HTTP
 00:00:00.369565 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 420565:421953, ack 122, win 227, options [nop,nop,TS val 2521817341 ecr 729676787], length 1388: HTTP
 00:00:00.369568 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 421953:423341, ack 122, win 227, options [nop,nop,TS val 2521817347 ecr 729676792], length 1388: HTTP
 00:00:00.369620 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 403909, win 2732, options [nop,nop,TS val 729676826 ecr 2521817341], length 0
 00:00:00.369635 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 406685, win 2689, options [nop,nop,TS val 729676826 ecr 2521817341], length 0
 00:00:00.369645 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 409461, win 2645, options [nop,nop,TS val 729676826 ecr 2521817341], length 0
 00:00:00.369657 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 412237, win 2602, options [nop,nop,TS val 729676826 ecr 2521817341], length 0
 00:00:00.369667 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 415013, win 2559, options [nop,nop,TS val 729676826 ecr 2521817341], length 0
 00:00:00.369676 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 417789, win 2515, options [nop,nop,TS val 729676826 ecr 2521817341], length 0
 00:00:00.369687 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 420565, win 2472, options [nop,nop,TS val 729676826 ecr 2521817341], length 0
 00:00:00.369700 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 423341, win 2429, options [nop,nop,TS val 729676826 ecr 2521817341], length 0
 00:00:00.369797 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 423341, win 2685, options [nop,nop,TS val 729676826 ecr 2521817341], length 0
 00:00:00.369984 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 423341, win 2776, options [nop,nop,TS val 729676826 ecr 2521817341], length 0
 00:00:00.371005 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 423341:424729, ack 122, win 227, options [nop,nop,TS val 2521817347 ecr 729676792], length 1388: HTTP
 00:00:00.371009 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 424729:426117, ack 122, win 227, options [nop,nop,TS val 2521817347 ecr 729676792], length 1388: HTTP
 00:00:00.371011 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 426117:427505, ack 122, win 227, options [nop,nop,TS val 2521817347 ecr 729676792], length 1388: HTTP
 00:00:00.371013 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 427505:428893, ack 122, win 227, options [nop,nop,TS val 2521817348 ecr 729676792], length 1388: HTTP
 00:00:00.371015 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 428893:430281, ack 122, win 227, options [nop,nop,TS val 2521817348 ecr 729676792], length 1388: HTTP
 00:00:00.371064 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 426117, win 2732, options [nop,nop,TS val 729676827 ecr 2521817347], length 0
 00:00:00.371080 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 428893, win 2689, options [nop,nop,TS val 729676827 ecr 2521817347], length 0
 00:00:00.371185 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 430281:431669, ack 122, win 227, options [nop,nop,TS val 2521817348 ecr 729676792], length 1388: HTTP
 00:00:00.371218 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 431669, win 2645, options [nop,nop,TS val 729676827 ecr 2521817348], length 0
 00:00:00.371234 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 431669, win 2776, options [nop,nop,TS val 729676827 ecr 2521817348], length 0
 00:00:00.373003 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 431669:433057, ack 122, win 227, options [nop,nop,TS val 2521817348 ecr 729676792], length 1388: HTTP
 00:00:00.373007 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 433057:434445, ack 122, win 227, options [nop,nop,TS val 2521817348 ecr 729676792], length 1388: HTTP
